,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
85,5365800,5365800,2,2,2,AMP GRANADA,"DEPARTAMENTO EN VENTA, NUPOL, LAGO ANDROMACO #1, 2 RECAMARAS, 2 BANOS, 2 ESTACIONAMIENTOS.",GRANADA,19.4399132456,19.4399132456
86,950000,950000,2,1,1,SAN JUAN XALPA,AMPLIO DEPARTAMENTO CERCA DEL METRO CALLE 11,SAN JUAN,19.3783640536,19.3783640536
87,2500000,2500000,2,2,1,ZACAHUITZCO,"DEPARTAMENTO EN VENTA, BENITO JUAREZ",BENITO JUAREZ,19.3296058799,19.3296058799
88,1111000,1111000,3,2,2,POPOTLA,INMUEBLE EN VENTA CERCA DE LA CIUDAD DE MEXICO,POPO,19.4457823588,19.4457823588
89,1111000,1111000,3,2,2,LOMAS DE CHAPULTEPEC,PREVENTA DE INMUEBLE CON ALBERCA EN PRIVADA A 40 MIN DE LA CIUDAD DE MEXICO,LOMAS DE CHAPULTEPEC,19.4228411174,19.4228411174
90,4629000,4629000,3,3,2,LOMAS DE PADIERNA,PREVENTA CASAS MODERNAS EN AJUSCO CIUDAD DE MEXICO,MODERNA,19.395254545,19.395254545
93,11000000,11000000,5,3,0,VERTIZ NARVARTE,"CASA EN VENTA EN  LA NARVARTE  BENITO JUAREZ, CIUDAD DE MEXICO",BENITO JUAREZ,19.3296058799,19.3296058799
96,850000,850000,2,1,1,MIXCOATL,VENDO DEPARTAMENTO  EN PLANTA BAJA A 10 MINUTOS DE METRO CONSTITUCION DE 1917,MIXCOATL,19.3250111235,19.3250111235
101,3447369,3447369,2,2,1,MIXCOAC,"DEPARTAMENTO EN VENTA EN PUNTO MIXCOAC, BENITO JUAREZ, CDMX, 2 RECAMARAS",BENITO JUAREZ,19.3296058799,19.3296058799
102,3500000,3500000,2,1,0,NAPOLES,DEPARTAMENTO EN VENTA CON 2 RECAMARAS EN LA COLONIA NAPOLES ODD 0230,NAPOLES,19.3936944672,19.3936944672
107,20000000,20000000,3,3,4+,FLORIDA,ESPECTACULAR CASA EN COLONIA FLORIDA,FLORIDA,19.3570724615,19.3570724615
108,4700000,4700000,2,2,1,PORTALES SUR,"DEPARTAMENTO  EN VENTA EN SEVILLA 815 EN  BENITO JUAREZ,  CDMX,  3 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
109,4519278,4519278,2,2,2,PORTALES SUR,"DEPARTAMENTO  EN VENTA EN SEVILLA 815 EN  BENITO JUAREZ,  CDMX,  2 RECAMARAS.",BENITO JUAREZ,19.3296058799,19.3296058799
112,960000,960000,3,2,2,JUAREZ,"CASAS EN VENTA DESDE $960,000 A 40 MIN DE POTRERO",JUAREZ,19.4270038256,19.4270038256
